Timestamp,DeviceId,DeviceName,ActionType,RemoteIP,RemoteUrl,RemotePort,InitiatingProcessFileName,InitiatingProcessId,InitiatingProcessCreationTime,InitiatingProcessAccountName
2026-08-17T08:39:19.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T08:44:22.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T08:49:14.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T08:54:26.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T08:58:52.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T09:04:01.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T09:09:07.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T09:13:49.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T09:19:27.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
2026-08-17T09:24:05.0000000Z,a1b2c3d4e5f60718293a4b5c6d7e8f9012345678,NSH-RSCH-WS042,ConnectionSuccess,45.132.180.211,secure-m365-verify.xyz,443,powershell.exe,6284,2026-08-17T08:38:26.0000000Z,r.kaur
